+OT(min),Kdlmn(Km),PhaseCount,Mag,MagCount,Predictions
0.027320833,0.009421265,0.192307692,0.891008174,0.384615385,0.384615385
0.027464627,0.009421265,0.192307692,0.891008174,0.384615385,0.384615385
0.027680317,0.009421265,0.192307692,0.891008174,0.384615385,0.384615385
0.027953526,0.009421265,0.192307692,0.891008174,0.384615385,0.384615385
0.028183596,0.009421265,0.192307692,0.891008174,0.384615385,0.384615385
0.028399287,0.009421265,0.192307692,0.891008174,0.384615385,0.384615385
0.028643736,0.009421265,0.192307692,0.891008174,0.384615385,0.384615385
0.028888186,0.009421265,0.192307692,0.891008174,0.384615385,0.384615385
0.029118256,0.009421265,0.192307692,0.891008174,0.384615385,0.384615385
0.029391464,0.009421265,0.192307692,0.891008174,0.384615385,0.384615385
0.029650293,0.009421265,0.192307692,0.891008174,0.384615385,0.384615385
0.029894743,0.009421265,0.192307692,0.891008174,0.384615385,0.384615385
0.030110434,0.009421265,0.192307692,0.891008174,0.384615385,0.384615385
0.030340504,0.009421265,0.192307692,0.891008174,0.384615385,0.384615385
0.030584953,0.009421265,0.192307692,0.891008174,0.384615385,0.384615385
0.030843782,0.009421265,0.192307692,0.891008174,0.384615385,0.384615385
0.031088232,0.009421265,0.192307692,0.891008174,0.384615385,0.384615385
0.031332681,0.009421265,0.192307692,0.891008174,0.384615385,0.384615385
0.031562752,0.009421265,0.192307692,0.891008174,0.384615385,0.384615385
0.031807201,0.009421265,0.192307692,0.891008174,0.384615385,0.384615385
0.03206603,0.009421265,0.192307692,0.891008174,0.384615385,0.384615385
0.03231048,0.009421265,0.192307692,0.891008174,0.384615385,0.384615385
0.03252617,0.009421265,0.192307692,0.891008174,0.384615385,0.384615385
0.032784999,0.009421265,0.192307692,0.891008174,0.384615385,0.384615385
0.033029449,0.009421265,0.192307692,0.891008174,0.384615385,0.384615385
0.033273899,0.009421265,0.192307692,0.891008174,0.384615385,0.384615385
0.033489589,0.009421265,0.192307692,0.891008174,0.384615385,0.384615385
0.033777177,0.009421265,0.192307692,0.891008174,0.384615385,0.384615385
0.034007247,0.009421265,0.192307692,0.891008174,0.384615385,0.384615385
0.034251697,0.009421265,0.192307692,0.891008174,0.384615385,0.384615385
0.034467388,0.009421265,0.192307692,0.891008174,0.384615385,0.384615385
0.034711837,0.009421265,0.192307692,0.891008174,0.384615385,0.384615385
0.034941907,0.009421265,0.192307692,0.891008174,0.384615385,0.384615385
0.035186357,0.009421265,0.192307692,0.891008174,0.384615385,0.384615385
0.035430806,0.009421265,0.192307692,0.891008174,0.384615385,0.384615385
0.035660877,0.009421265,0.192307692,0.891008174,0.384615385,0.384615385
0.035905326,0.009421265,0.192307692,0.891008174,0.384615385,0.384615385
0.036149776,0.009421265,0.192307692,0.891008174,0.384615385,0.384615385
0.036408605,0.009421265,0.192307692,0.891008174,0.384615385,0.384615385
0.036653054,0.009421265,0.192307692,0.891008174,0.384615385,0.384615385
0.036883124,0.009421265,0.192307692,0.891008174,0.384615385,0.384615385
0.037127574,0.009421265,0.192307692,0.891008174,0.384615385,0.384615385
0.037372023,0.009421265,0.192307692,0.891008174,0.384615385,0.384615385
0.037630852,0.009421265,0.192307692,0.891008174,0.384615385,0.384615385
0.037875302,0.009421265,0.192307692,0.891008174,0.384615385,0.384615385
0.038105372,0.009421265,0.192307692,0.891008174,0.384615385,0.384615385
0.038349822,0.009421265,0.192307692,0.891008174,0.384615385,0.384615385
0.038594271,0.009421265,0.192307692,0.891008174,0.384615385,0.384615385
0.038824341,0.009421265,0.192307692,0.891008174,0.384615385,0.384615385
0.039068791,0.009421265,0.192307692,0.891008174,0.384615385,0.384615385
0.039313241,0.009421265,0.192307692,0.891008174,0.384615385,0.384615385
0.039543311,0.009421265,0.192307692,0.891008174,0.384615385,0.384615385
0.047265041,0.009421265,0.192307692,0.891008174,0.384615385,0.384615385
0.071666858,0.009421265,0.192307692,0.891008174,0.384615385,0.384615385
